pdv_code,lat,lon,demanda,frecuencia,sector,visitas,hora_inicio,hora_fin,cluster
612251,20.60294,-100.431,390,2,X11,x,,,1
612258,20.6063,-100.4371,350,2,X11,x,,,1
612264,20.58149,-100.41,1300,2,M87,x,,,10
612265,20.59842,-100.4346,610,2,X11,x,07:00,13:00,1
612268,20.58243,-100.4182,1700,2,M87,x,,,10
612275,20.56452,-100.42,490,1,ZN6,x,,,10
612284,20.60394,-100.4331,2600,2,X11,10010,,,1
612288,20.60141945,-100.4338989,1400,1,X11,x,,,1
612292,20.60859,-100.4294,560,2,X11,x,,,9
612293,20.60605,-100.4293,1100,2,X11,x,,,9
612296,20.58102,-100.4199,2500,2,M87,x,,,10
612297,20.58179,-100.4204,460,1,M87,x,,,10
612298,20.58382,-100.4148,380,2,M87,x,,,10
612305,20.5592,-100.4186,1300,2,ZN6,100100,,,0
612312,20.57323,-100.4135,2400,2,ZN6,100100,,,10
612325,20.5634,-100.4153,1700,2,ZN6,x,,,10
612334,20.66256,-100.505,650,1,M79,x,,,4
612349,20.61192,-100.4404,330,2,X11,x,,,1
612356,20.59791,-100.4475,530,2,1D7,x,,,1
612368,20.59653,-100.4465,320,2,1D7,x,,,1
612394,20.59295082,-100.44860077,3100,1,1D7,x,,,1
612399,20.65881,-100.5168,540,1,M79,x,,,4
612431,20.57378,-100.3781,2300,2,ZN8,x,,,6
612443,20.56695,-100.3681,630,1,ZN8,x,,,8
612446,20.5727,-100.3759,1600,2,ZN8,x,,,8
612449,20.55335,-100.3888,1900,1,1D4,x,,,0
612451,20.55922,-100.378,360,2,1D4,x,07:00,13:00,6
612452,20.5683,-100.3827,1700,1,1D4,x,,,6
612454,20.56058,-100.3771,470,2,1D4,x,07:00,13:00,6
612458,20.57204,-100.3723,1200,2,ZN8,x,,,8
612467,20.57386,-100.3874,560,2,M87,x,,,6
612468,20.57332,-100.39,410,2,M87,x,,,6
612474,20.57092,-100.395,1800,2,M87,x,,,10
612476,20.5718,-100.3932,250,2,M87,x,,,6
612477,20.57087,-100.3955,1200,2,M87,x,,,10
612478,20.56854,-100.3932,720,2,M87,x,,,6
612480,20.56845,-100.3955,1450,1,M87,x,,,6
612485,20.56663,-100.3944,1500,1,M87,x,,,6
612489,20.55898,-100.3978,1500,2,1D4,x,07:00,13:00,0
612491,20.56072,-100.3916,1200,1,1D4,x,,,6
612493,20.5645,-100.388,180,1,1D4,x,,,6
612495,20.55726,-100.3892,2300,2,1D4,x,,,6
612497,20.56118,-100.3985,3300,2,1D4,x,07:00,13:00,6
612501,20.56564,-100.3961,340,1,M87,x,,,6
612507,20.56678,-100.3902,420,2,M87,x,,,6
612520,20.56749,-100.3969,190,1,M87,x,,,10
612523,20.54891,-100.4016,1500,2,ZN6,x,,,0
612526,20.55743,-100.3943,1500,2,1D4,x,07:00,13:00,6
612529,20.55371,-100.3927,370,1,1D4,x,07:00,13:00,0
612531,20.55375,-100.3923,240,1,1D4,x,07:00,13:00,0
612545,20.55984,-100.3832,1300,2,1D4,x,07:00,13:00,6
612577,20.56367,-100.3674,1300,2,ZN8,x,07:00,13:00,6
